iter= 2170, img_loss=0.286662, reg_loss=0.051686, lr=0.00000, time=1237.7 ms, rem=58.38 m
iter= 2180, img_loss=0.316591, reg_loss=0.055782, lr=0.00000, time=1311.5 ms, rem=1.03 h
iter= 2190, img_loss=0.307053, reg_loss=0.054105, lr=0.00000, time=1280.8 ms, rem=59.98 m
iter= 2200, img_loss=0.304530, reg_loss=0.054791, lr=0.00000, time=1293.9 ms, rem=1.01 h
iter= 2210, img_loss=0.306570, reg_loss=0.054047, lr=0.00000, time=1278.8 ms, rem=59.47 m
iter= 2220, img_loss=0.327377, reg_loss=0.057503, lr=0.00000, time=1341.8 ms, rem=1.04 h
iter= 2230, img_loss=0.314244, reg_loss=0.055689, lr=0.00000, time=1306.3 ms, rem=1.01 h
iter= 2240, img_loss=0.310099, reg_loss=0.054885, lr=0.00000, time=1295.8 ms, rem=59.61 m
iter= 2250, img_loss=0.306418, reg_loss=0.054602, lr=0.00000, time=1288.7 ms, rem=59.07 m
iter= 2260, img_loss=0.301754, reg_loss=0.054209, lr=0.00000, time=1284.2 ms, rem=58.64 m
iter= 2270, img_loss=0.320133, reg_loss=0.056239, lr=0.00000, time=1316.5 ms, rem=59.90 m
iter= 2280, img_loss=0.294320, reg_loss=0.052790, lr=0.00000, time=1258.3 ms, rem=57.04 m
iter= 2290, img_loss=0.313265, reg_loss=0.055445, lr=0.00000, time=1304.3 ms, rem=58.91 m
iter= 2300, img_loss=0.296082, reg_loss=0.052779, lr=0.00000, time=1258.6 ms, rem=56.64 m
